"Country";"Frequency Range";"Allocations";"Applications"
"- Europe (ECA) -";"3900.000 - 3950.000 kHz";"Aeronautical Mobile (OR)";"Aeronautical military systems/Inductive applications/Aeronautical communications"
"- Europe (ECA) -";"3950.000 - 4000.000 kHz";"Broadcasting/Fixed";"Inductive applications/Broadcasting/Land military systems"
"- Europe (ECA) -";"4000.000 - 4063.000 kHz";"Fixed/Maritime Mobile";"Land military systems/Maritime military systems/Inductive applications/Maritime communications"
"- Europe (ECA) -";"4063.000 - 4438.000 kHz";"Maritime Mobile";"DSC/Maritime communications/Inductive applications/Railway applications/NAVTEX/Maritime military systems"
"- Europe (ECA) -";"4438.000 - 4488.000 kHz";"Fixed/Mobile except aeronautical mobile (R)/Radiolocation";"Land military systems/Maritime military systems/Radiolocation (military)/Inductive applications"
"- Europe (ECA) -";"4488.000 - 4650.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Inductive applications/Maritime military systems/Land military systems"
"- Europe (ECA) -";"4650.000 - 4700.000 kHz";"Aeronautical Mobile (R)";"Aeronautical military systems/Inductive applications/Aeronautical communications"
"- Europe (ECA) -";"4700.000 - 4750.000 kHz";"Aeronautical Mobile (OR)";"Aeronautical communications/Inductive applications/Aeronautical military systems"
"- Europe (ECA) -";"4750.000 - 4850.000 kHz";"Aeronautical Mobile (OR)/Fixed/Land Mobile";"Aeronautical military systems/Land military systems/Inductive applications/Aeronautical communications"
"- Europe (ECA) -";"4850.000 - 4995.000 kHz";"Fixed/Land Mobile";"Inductive applications/Land military systems"
"- Europe (ECA) -";"4995.000 - 5003.000 kHz";"Standard frequency and time signal (5 000 kHz)";"Inductive applications"
"- Europe (ECA) -";"5003.000 - 5005.000 kHz";"Standard Frequency and Time Signal/Space Research";"Inductive applications"
"- Europe (ECA) -";"5005.000 - 5060.000 kHz";"Fixed";"Inductive applications/Land military systems"
"- Europe (ECA) -";"5060.000 - 5250.000 kHz";"Fixed/Mobile except aeronautical mobile";"Land military systems/Maritime military systems/Inductive applications"
"- Europe (ECA) -";"5250.000 - 5275.000 kHz";"Fixed/Mobile except aeronautical mobile/Radiolocation";"Inductive applications/Land military systems/Maritime military systems/Radiolocation (military)"
"- Europe (ECA) -";"5275.000 - 5351.500 kHz";"Fixed/Mobile except aeronautical mobile";"Inductive applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"5351.500 - 5366.500 kHz";"Fixed/Mobile except aeronautical mobile/Amateur";"Amateur/Inductive applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"5366.500 - 5450.000 kHz";"Fixed/Mobile except aeronautical mobile";"Inductive applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"5450.000 - 5480.000 kHz";"Aeronautical Mobile (OR)/Fixed/Land Mobile";"Aeronautical military systems/Land military systems/Inductive applications/Aeronautical communications"
"- Europe (ECA) -";"5480.000 - 5680.000 kHz";"Aeronautical Mobile-Satellite (R)";"Aeronautical communications/Inductive applications/SAR (communications)/Aeronautical military systems"
"- Europe (ECA) -";"5680.000 - 5730.000 kHz";"Aeronautical Mobile (OR)";"Aeronautical military systems/SAR (communications)/Inductive applications/Aeronautical communications"
"- Europe (ECA) -";"5730.000 - 5900.000 kHz";"Fixed/Land Mobile";"Inductive applications/Land military systems"
"- Europe (ECA) -";"5900.000 - 5950.000 kHz";"Broadcasting";"Inductive applications/Broadcasting"
"- Europe (ECA) -";"5950.000 - 6200.000 kHz";"Broadcasting";"Broadcasting/Inductive applications"
"- Europe (ECA) -";"6200.000 - 6525.000 kHz";"Maritime Mobile";"Inductive applications/DSC/Maritime communications/Maritime military systems"
"- Europe (ECA) -";"6525.000 - 6685.000 kHz";"Aeronautical Mobile (R)";"Aeronautical military systems/Aeronautical communications/Inductive applications"
"- Europe (ECA) -";"6685.000 - 6765.000 kHz";"Aeronautical Mobile (OR)";"Inductive applications/Aeronautical communications/Aeronautical military systems"
"- Europe (ECA) -";"6765.000 - 7000.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Maritime military systems/Land military systems/Inductive applications/ISM"
"- Europe (ECA) -";"7000.000 - 7100.000 kHz";"Amateur/Amateur-Satellite";"Amateur/Inductive applications"
"- Europe (ECA) -";"7100.000 - 7200.000 kHz";"Amateur";"Inductive applications/Amateur"
"- Europe (ECA) -";"7200.000 - 7300.000 kHz";"Broadcasting";"Inductive applications/Broadcasting"
"- Europe (ECA) -";"7300.000 - 7400.000 kHz";"Broadcasting";"Broadcasting/Inductive applications"
"- Europe (ECA) -";"7400.000 - 7450.000 kHz";"Broadcasting";"Broadcasting/Inductive applications"
"- Europe (ECA) -";"7450.000 - 8100.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Inductive applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"8100.000 - 8195.000 kHz";"Fixed/Maritime Mobile";"Land military systems/Maritime military systems/Inductive applications/Maritime communications"
"- Europe (ECA) -";"8195.000 - 8815.000 kHz";"Maritime Mobile";"DSC/Inductive applications/Maritime communications/Maritime military systems"
"- Europe (ECA) -";"8815.000 - 8965.000 kHz";"Aeronautical Mobile (R)";"Aeronautical military systems/Aeronautical communications/Inductive applications"
"- Europe (ECA) -";"8965.000 - 9040.000 kHz";"Aeronautical Mobile (OR)";"Inductive applications/Aeronautical communications/Aeronautical military systems"
"- Europe (ECA) -";"9040.000 - 9305.000 kHz";"Fixed";"Land military systems/Inductive applications"
"- Europe (ECA) -";"9305.000 - 9355.000 kHz";"Fixed/Radiolocation";"Inductive applications/Land military systems"
"- Europe (ECA) -";"9355.000 - 9400.000 kHz";"Fixed";"Land military systems/Inductive applications"
"- Europe (ECA) -";"9400.000 - 9500.000 kHz";"Broadcasting";"Broadcasting/Inductive applications"
"- Europe (ECA) -";"9500.000 - 9900.000 kHz";"Broadcasting";"Inductive applications/Broadcasting"
"- Europe (ECA) -";"9900.000 - 9995.000 kHz";"Fixed";"Inductive applications/Land military systems"
"- Europe (ECA) -";"9995.000 - 10003.000 kHz";"Standard frequency and time signal (10 000 kHz)";"Inductive applications"
"- Europe (ECA) -";"10003.000 - 10005.000 kHz";"Standard Frequency and Time Signal/Space Research";"Inductive applications/SAR (communications)"
"- Europe (ECA) -";"10005.000 - 10100.000 kHz";"Aeronautical Mobile (R)";"Aeronautical communications/Inductive applications/Aeronautical military systems"
"- Europe (ECA) -";"10100.000 - 10150.000 kHz";"Fixed/Amateur";"Land military systems/Inductive applications/Amateur"
"- Europe (ECA) -";"10150.000 - 11175.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Inductive applications/Railway applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"11175.000 - 11275.000 kHz";"Aeronautical Mobile (OR)";"Aeronautical military systems/Inductive applications/Railway applications/Aeronautical communications"
"- Europe (ECA) -";"11275.000 - 11400.000 kHz";"Aeronautical Mobile (R)";"Aeronautical communications/Railway applications/Inductive applications/Aeronautical military systems"
"- Europe (ECA) -";"11400.000 - 11600.000 kHz";"Fixed";"Land military systems/Inductive applications/Railway applications"
"- Europe (ECA) -";"11600.000 - 11650.000 kHz";"Broadcasting";"Railway applications/Inductive applications/Broadcasting"
"- Europe (ECA) -";"11650.000 - 12050.000 kHz";"Broadcasting";"Broadcasting/Inductive applications/Railway applications"
"- Europe (ECA) -";"12050.000 - 12100.000 kHz";"Broadcasting";"Railway applications/Inductive applications/Broadcasting"
"- Europe (ECA) -";"12100.000 - 12230.000 kHz";"Fixed";"Inductive applications/Railway applications/Land military systems"
"- Europe (ECA) -";"12230.000 - 13200.000 kHz";"Maritime Mobile";"Maritime military systems/Railway applications/Inductive applications/DSC/Maritime communications"
"- Europe (ECA) -";"13200.000 - 13260.000 kHz";"Aeronautical Mobile (OR)";"Aeronautical communications/Inductive applications/Railway applications/Aeronautical military systems"
"- Europe (ECA) -";"13260.000 - 13360.000 kHz";"Aeronautical Mobile (R)";"Aeronautical military systems/Railway applications/Inductive applications/Aeronautical communications"
"- Europe (ECA) -";"13360.000 - 13410.000 kHz";"Fixed/Radio Astronomy";"Radio astronomy/Inductive applications/Railway applications/Land military systems"
"- Europe (ECA) -";"13410.000 - 13450.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Maritime military systems/Land military systems/Railway applications/Inductive applications"
"- Europe (ECA) -";"13450.000 - 13550.000 kHz";"Mobile except aeronautical mobile (R)/Fixed/Radiolocation";"Inductive applications/Railway applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"13550.000 - 13570.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Maritime military systems/Land military systems/Railway applications/Non-specific SRDs/ISM/Inductive applications"
"- Europe (ECA) -";"13570.000 - 13600.000 kHz";"Broadcasting";"Broadcasting/Railway applications/Inductive applications"
"- Europe (ECA) -";"13600.000 - 13800.000 kHz";"Broadcasting";"Inductive applications/Railway applications/Broadcasting"
"- Europe (ECA) -";"13800.000 - 13870.000 kHz";"Broadcasting";"Broadcasting/Railway applications/Inductive applications"
"- Europe (ECA) -";"13870.000 - 14000.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Inductive applications/Railway applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"14000.000 - 14250.000 kHz";"Amateur/Amateur-Satellite";"Railway applications/Inductive applications/Amateur/Amateur-satellite"
"- Europe (ECA) -";"14250.000 - 14350.000 kHz";"Amateur";"Amateur/Inductive applications/Railway applications"
"- Europe (ECA) -";"14350.000 - 14990.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Railway applications/Inductive applications/Maritime military systems/Land military systems"
"- Europe (ECA) -";"14990.000 - 15005.000 kHz";"Standard frequency and time signal (15 000 kHz)";"Inductive applications/Railway applications/SAR (communications)"
"- Europe (ECA) -";"15005.000 - 15010.000 kHz";"Standard Frequency and Time Signal/Space Research";"Railway applications/Inductive applications"
"- Europe (ECA) -";"15010.000 - 15100.000 kHz";"Aeronautical Mobile (OR)";"Inductive applications/Railway applications/Aeronautical communications/Aeronautical military systems"
"- Europe (ECA) -";"15100.000 - 15600.000 kHz";"Broadcasting";"Railway applications/Inductive applications/Broadcasting"
"- Europe (ECA) -";"15600.000 - 15800.000 kHz";"Broadcasting";"Broadcasting/Inductive applications/Railway applications"
"- Europe (ECA) -";"15800.000 - 16100.000 kHz";"Fixed";"Railway applications/Inductive applications/Land military systems"
"- Europe (ECA) -";"16100.000 - 16200.000 kHz";"Fixed/Radiolocation";"Land military systems/Inductive applications"
"- Europe (ECA) -";"16200.000 - 16360.000 kHz";"Fixed";"Inductive applications/Land military systems"
"- Europe (ECA) -";"16360.000 - 17410.000 kHz";"Maritime Mobile";"Maritime military systems/Inductive applications/DSC/Maritime communications"
"- Europe (ECA) -";"17410.000 - 17480.000 kHz";"Fixed";"Inductive applications/Land military systems"
"- Europe (ECA) -";"17480.000 - 17550.000 kHz";"Broadcasting";"Inductive applications/Broadcasting"
"- Europe (ECA) -";"17550.000 - 17900.000 kHz";"Broadcasting";"Broadcasting/Inductive applications"
"- Europe (ECA) -";"17900.000 - 17970.000 kHz";"Aeronautical Mobile (R)";"Inductive applications/Aeronautical communications/Aeronautical military systems"
"- Europe (ECA) -";"17970.000 - 18030.000 kHz";"Aeronautical Mobile (OR)";"Aeronautical military systems/Aeronautical communications/Inductive applications"
"- Europe (ECA) -";"18030.000 - 18052.000 kHz";"Fixed";"Inductive applications/Land military systems"
"- Europe (ECA) -";"18052.000 - 18068.000 kHz";"Fixed/Space Research";"Land military systems/Inductive applications"
"- Europe (ECA) -";"18068.000 - 18168.000 kHz";"Amateur/Amateur-Satellite";"Inductive applications/Amateur/Amateur-satellite"
"- Europe (ECA) -";"18168.000 - 18780.000 kHz";"Fixed/Mobile except aeronautical mobile";"DSC/Inductive applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"18780.000 - 18900.000 kHz";"Maritime Mobile";"Maritime military systems/Inductive applications/Maritime communications"
"- Europe (ECA) -";"18900.000 - 19020.000 kHz";"Broadcasting";"Inductive applications/Broadcasting"
"- Europe (ECA) -";"19020.000 - 19680.000 kHz";"Fixed";"Inductive applications/Land military systems"
"- Europe (ECA) -";"19680.000 - 19800.000 kHz";"Maritime Mobile";"Maritime military systems/Inductive applications/DSC/Maritime communications"
"- Europe (ECA) -";"19800.000 - 19990.000 kHz";"Fixed";"Inductive applications/Land military systems"
"- Europe (ECA) -";"19990.000 - 19995.000 kHz";"Standard Frequency and Time Signal/Space Research";"Inductive applications/SAR (communications)"
"- Europe (ECA) -";"19995.000 - 20010.000 kHz";"Standard frequency and time signal (20 000 kHz)";"Inductive applications"
"- Europe (ECA) -";"20010.000 - 21000.000 kHz";"Fixed/Mobile";"Inductive applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"21000.000 - 21450.000 kHz";"Amateur/Amateur-Satellite";"Inductive applications/Amateur/Amateur-satellite"
"- Europe (ECA) -";"21450.000 - 21850.000 kHz";"Broadcasting";"Inductive applications/Broadcasting"
"- Europe (ECA) -";"21850.000 - 21870.000 kHz";"Fixed";"Inductive applications/Land military systems"
"- Europe (ECA) -";"21870.000 - 21924.000 kHz";"Fixed";"Land military systems/Inductive applications"
"- Europe (ECA) -";"21924.000 - 22000.000 kHz";"Aeronautical Mobile (R)";"Inductive applications/Aeronautical communications/Aeronautical military systems"
"- Europe (ECA) -";"22000.000 - 22855.000 kHz";"Maritime Mobile";"Maritime military systems/DSC/Maritime communications/Inductive applications"
"- Europe (ECA) -";"22855.000 - 23000.000 kHz";"Fixed";"Inductive applications/Land military systems"
"- Europe (ECA) -";"23000.000 - 23200.000 kHz";"Fixed/Mobile except aeronautical mobile (R)";"Land military systems/Maritime military systems/Inductive applications"
"- Europe (ECA) -";"23200.000 - 23350.000 kHz";"Aeronautical Mobile (OR)/Fixed";"Inductive applications/Aeronautical communications/Aeronautical military systems/Land military systems"
"- Europe (ECA) -";"23350.000 - 24000.000 kHz";"Fixed/Mobile except aeronautical mobile";"Maritime military systems/Land military systems/Inductive applications"
"- Europe (ECA) -";"24000.000 - 24450.000 kHz";"Fixed/Land Mobile";"Inductive applications/Land military systems"
"- Europe (ECA) -";"24450.000 - 24600.000 kHz";"Fixed/Land Mobile/Radiolocation";"Land military systems/Inductive applications"
"- Europe (ECA) -";"24600.000 - 24890.000 kHz";"Fixed/Land Mobile";"Inductive applications/Land military systems"
"- Europe (ECA) -";"24890.000 - 24990.000 kHz";"Amateur/Amateur-Satellite";"Inductive applications/Amateur/Amateur-satellite"
"- Europe (ECA) -";"24990.000 - 25005.000 kHz";"Standard frequency and time signal (25 000 kHz)";"Inductive applications"
"- Europe (ECA) -";"25005.000 - 25010.000 kHz";"Standard Frequency and Time Signal/Space Research";"Inductive applications/Space research"
"- Europe (ECA) -";"25010.000 - 25070.000 kHz";"Fixed/Mobile except aeronautical mobile";"Inductive applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"25070.000 - 25210.000 kHz";"Maritime Mobile";"Maritime military systems/Inductive applications/DSC/Maritime communications"
"- Europe (ECA) -";"25210.000 - 25550.000 kHz";"Fixed/Mobile except aeronautical mobile";"Inductive applications/Maritime military systems/Land military systems"
"- Europe (ECA) -";"25550.000 - 25670.000 kHz";"Radio Astronomy";"Inductive applications/Radio astronomy"
"- Europe (ECA) -";"25670.000 - 26100.000 kHz";"Broadcasting";"Inductive applications/Broadcasting"
"- Europe (ECA) -";"26100.000 - 26175.000 kHz";"Maritime Mobile";"Inductive applications/DSC/Maritime communications/Maritime military systems"
"- Europe (ECA) -";"26175.000 - 26200.000 kHz";"Fixed/Mobile except aeronautical mobile";"Maritime military systems/Land military systems/Inductive applications"
"- Europe (ECA) -";"26200.000 - 26350.000 kHz";"Fixed/Mobile except aeronautical mobile/Radiolocation";"Inductive applications/Land military systems/Maritime military systems"
"- Europe (ECA) -";"26350.000 - 27500.000 kHz";"Fixed/Mobile except aeronautical mobile";"Maritime military systems/Land military systems/Model control/Non-specific SRDs/ISM/CB radio/Inductive applications/Railway applications"
"- Europe (ECA) -";"27500.000 - 28000.000 kHz";"Fixed/Meteorological Aids/Mobile";"Inductive applications/Aeronautical military systems/Land military systems/Maritime military systems"
"- Europe (ECA) -";" 28.000 -  29.700 MHz";"Amateur/Amateur-Satellite";"Inductive applications/Amateur/Amateur-satellite"
"- Europe (ECA) -";" 29.700 -  30.005 MHz";"Mobile";"Radio microphones and ALD/Inductive applications/Active medical implants/Aeronautical military systems/Maritime military systems/Land military systems"
"- Europe (ECA) -";" 30.005 -  30.010 MHz";"Mobile";"Land military systems/Aeronautical military systems/Maritime military systems/Satellite systems (military)/Active medical implants/Radio microphones and ALD"
"- Europe (ECA) -";" 30.010 -  37.500 MHz";"Mobile";"Model control/PMR/Radio microphones and ALD/Active medical implants/Aeronautical military systems/Maritime military systems/Land military systems"
"- Europe (ECA) -";" 37.500 -  38.250 MHz";"Mobile/Radio Astronomy";"Aeronautical military systems/Maritime military systems/Land military systems/PMR/Radio astronomy/Radio microphones and ALD"
"- Europe (ECA) -";" 38.250 -  39.000 MHz";"Mobile";"PMR/Radio microphones and ALD/Land military systems/Aeronautical military systems/Maritime military systems"
"- Europe (ECA) -";" 39.000 -  39.500 MHz";"Mobile/Radiolocation";"Aeronautical military systems/Maritime military systems/Land military systems/Meteor scatter communications/PMR/Radio microphones and ALD"
"- Europe (ECA) -";" 39.500 -  39.986 MHz";"Mobile";"Radio microphones and ALD/PMR/Meteor scatter communications/Land military systems/Aeronautical military systems/Maritime military systems"
"- Europe (ECA) -";" 39.986 -  40.020 MHz";"Mobile/Space Research";"Aeronautical military systems/Maritime military systems/Land military systems/PMR/Radio microphones and ALD"
"- Europe (ECA) -";" 40.020 -  40.660 MHz";"Mobile";"PMR/Radio microphones and ALD/Maritime military systems/Land military systems/Aeronautical military systems"
"- Europe (ECA) -";" 40.660 -  40.700 MHz";"Mobile";"Land military systems/Aeronautical military systems/Maritime military systems/ISM/Model control/Non-specific SRDs/Radio microphones and ALD"
"- Europe (ECA) -";" 40.700 -  40.980 MHz";"Mobile";"PMR/Radio microphones and ALD/Aeronautical military systems/Maritime military systems/Land military systems"
"- Europe (ECA) -";" 40.980 -  41.015 MHz";"Mobile/Space Research";"Land military systems/Aeronautical military systems/Maritime military systems/PMR/Radio microphones and ALD"
"- Europe (ECA) -";" 41.015 -  42.000 MHz";"Mobile";"PMR/Radio microphones and ALD/Aeronautical military systems/Maritime military systems/Land military systems"
"- Europe (ECA) -";" 42.000 -  42.500 MHz";"Mobile/Fixed/Radiolocation";"Aeronautical military systems/Maritime military systems/Land military systems/PMR/Radio microphones and ALD"
"- Europe (ECA) -";" 42.500 -  44.000 MHz";"Mobile";"Radio microphones and ALD/PMR/Aeronautical military systems/Maritime military systems/Land military systems"
"- Europe (ECA) -";" 44.000 -  47.000 MHz";"Mobile";"Land military systems/Aeronautical military systems/Maritime military systems/PMR/Radio microphones and ALD/Wind profilers"
"- Europe (ECA) -";" 47.000 -  50.000 MHz";"Land Mobile";"On-site paging/PMR/Wind profilers/Earth exploration-satellite/Land military systems"
"- Europe (ECA) -";" 50.000 -  52.000 MHz";"Land Mobile/Amateur";"Land military systems/Amateur/PMR/Wind profilers"
"- Europe (ECA) -";" 52.000 -  68.000 MHz";"Land Mobile";"PMR/Wind profilers/Land military systems"
"- Europe (ECA) -";" 68.000 -  70.450 MHz";"Mobile/Amateur";"Amateur/Land military systems/Maritime military systems/PMR/PAMR"
"- Europe (ECA) -";" 70.450 -  74.800 MHz";"Amateur/Mobile except aeronautical mobile/Radio Astronomy";"PMR/PAMR/Radio astronomy/Maritime military systems/Land military systems/Amateur"
"- Europe (ECA) -";" 74.800 -  75.200 MHz";"Aeronautical Radionavigation";"ILS"
"- Europe (ECA) -";" 75.200 -  87.500 MHz";"Mobile";"PMR/PAMR/Land military systems/Maritime military systems"
"- Europe (ECA) -";" 87.500 - 100.000 MHz";"Broadcasting";"FM sound analogue/Wireless audio/multimedia"
"- Europe (ECA) -";"100.000 - 108.000 MHz";"Broadcasting";"FM sound analogue/Wireless audio/multimedia"
"- Europe (ECA) -";"108.000 - 117.975 MHz";"Aeronautical Radionavigation/Aeronautical Mobile (R)";"Aeronautical communications/ILS/VOR/GBAS"
"- Europe (ECA) -";"117.975 - 121.450 MHz";"Aeronautical Mobile-Satellite (R)";"Aeronautical communications"
"- Europe (ECA) -";"121.450 - 121.550 MHz";"Aeronautical Mobile (R)";"EPIRBs/-"
"- Europe (ECA) -";"121.550 - 136.000 MHz";"Aeronautical Mobile (R)";"Aeronautical communications"
"- Europe (ECA) -";"136.000 - 137.000 MHz";"Aeronautical Mobile (R)";"Aeronautical communications"
"- Europe (ECA) -";"137.000 - 137.025 MHz";"Meteorological-Satellite (space-to-Earth)/Mobile/Mobile-Satellite (space-to-Earth)/Space Operation (space-to-Earth)/Space Research (space-to-Earth)";"S-PCS/Weather satellites/Land mobile/Land military systems/Satellite systems (military)/Aeronautical military systems"
"- Europe (ECA) -";"137.025 - 137.175 MHz";"Meteorological-Satellite (space-to-Earth)/Mobile/Mobile-Satellite (space-to-Earth)/Space Operation (space-to-Earth)/Space Research (space-to-Earth)";"Land military systems/Satellite systems (military)/Aeronautical military systems/S-PCS/Weather satellites/Land mobile"
"- Europe (ECA) -";"137.175 - 137.825 MHz";"Meteorological-Satellite (space-to-Earth)/Mobile/Mobile-Satellite (space-to-Earth)/Space Operation (space-to-Earth)/Space Research (space-to-Earth)";"S-PCS/Weather satellites/Land mobile/Land military systems/Satellite systems (military)/Aeronautical military systems"
"- Europe (ECA) -";"137.825 - 138.000 MHz";"Meteorological-Satellite (space-to-Earth)/Mobile/Mobile-Satellite (space-to-Earth)/Space Operation (space-to-Earth)/Space Research (space-to-Earth)";"Land military systems/Satellite systems (military)/Aeronautical military systems/S-PCS/Weather satellites/Land mobile"
"- Europe (ECA) -";"138.000 - 143.600 MHz";"Aeronautical Mobile (OR)/Land Mobile/Space Research (space-to-Earth)";"Land mobile/Non-specific SRDs/Land military systems/Aeronautical military systems/Maritime military systems"
"- Europe (ECA) -";"143.600 - 143.650 MHz";"Aeronautical Mobile (OR)/Land Mobile/Space Research (space-to-Earth)";"Land military systems/Aeronautical military systems/Maritime military systems/Land mobile"
"- Europe (ECA) -";"143.650 - 144.000 MHz";"Aeronautical Mobile (OR)/Land Mobile";"Land mobile/Land military systems/Aeronautical military systems/Maritime military systems"
"- Europe (ECA) -";"144.000 - 146.000 MHz";"Amateur/Amateur-Satellite";"Amateur/Amateur-satellite"
"- Europe (ECA) -";"146.000 - 148.000 MHz";"Mobile";"PMR/PAMR"
"- Europe (ECA) -";"148.000 - 149.900 MHz";"Mobile/Mobile-Satellite (Earth-to-space)";"S-PCS/PMR/PAMR"
"- Europe (ECA) -";"149.900 - 150.050 MHz";"Mobile/Mobile-Satellite (Earth-to-space)";"S-PCS/PMR/PAMR"
"- Europe (ECA) -";"150.050 - 153.000 MHz";"Mobile except aeronautical mobile/Radio Astronomy";"PMR/PAMR/Radio astronomy"
"- Europe (ECA) -";"153.000 - 154.000 MHz";"Mobile except aeronautical mobile (R)";"PMR/PAMR"
"- Europe (ECA) -";"154.0000 - 156.4875 MHz";"Mobile except aeronautical mobile (R)";"PMR/PAMR/Maritime communications"
